# U/t  T/t  mz  converged
4.0  0.0000  0.29472884  true
4.0  0.0333  0.29472883  true
4.0  0.0667  0.29472883  true
4.0  0.1000  0.29472693  true
4.0  0.1333  0.29468885  true
4.0  0.1667  0.29447163  true
4.0  0.2000  0.29381549  true
4.0  0.2333  0.29241743  true
4.0  0.2667  0.28998950  true
4.0  0.3000  0.28627467  true
4.0  0.3333  0.28103681  true
4.0  0.3667  0.27404083  true
4.0  0.4000  0.26502809  true
4.0  0.4333  0.25368487  true
4.0  0.4667  0.23959649  true
4.0  0.5000  0.22216943  true
4.0  0.5333  0.20046030  true
4.0  0.5667  0.17280313  true
4.0  0.6000  0.13553660  true
4.0  0.6333  0.07545767  true
4.0  0.6667  0.00000000  true
4.0  0.7000  0.00000000  true
4.0  0.7333  0.00000000  true
4.0  0.7667  0.00000000  true
4.0  0.8000  0.00000000  true
4.0  0.8333  0.00000000  true
4.0  0.8667  0.00000000  true
4.0  0.9000  0.00000000  true
4.0  0.9333  0.00000000  true
4.0  0.9667  0.00000000  true
4.0  1.0000  0.00000000  true
8.0  0.0000  0.42592073  true
8.0  0.1000  0.42592073  true
8.0  0.2000  0.42592072  true
8.0  0.3000  0.42591543  true
8.0  0.4000  0.42581774  true
8.0  0.5000  0.42529648  true
8.0  0.6000  0.42380247  true
8.0  0.7000  0.42074408  true
8.0  0.8000  0.41558852  true
8.0  0.9000  0.40786635  true
8.0  1.0000  0.39713131  true
8.0  1.1000  0.38290396  true
8.0  1.2000  0.36459997  true
8.0  1.3000  0.34142390  true
8.0  1.4000  0.31217545  true
8.0  1.5000  0.27482107  true
8.0  1.6000  0.22526718  true
8.0  1.7000  0.15190591  true
8.0  1.8000  0.00000049  true
8.0  1.9000  0.00000044  true
8.0  2.0000  0.00000036  true
8.0  2.1000  0.00000027  true
8.0  2.2000  0.00000019  true
8.0  2.3000  0.00000012  true
8.0  2.4000  0.00000007  true
8.0  2.5000  0.00000004  true
8.0  2.6000  0.00000002  true
8.0  2.7000  0.00000001  true
8.0  2.8000  0.00000000  true
8.0  2.9000  0.00000000  true
8.0  3.0000  0.00000000  true
12.0  0.0000  0.46313076  true
12.0  0.1667  0.46313076  true
12.0  0.3333  0.46313073  true
12.0  0.5000  0.46312164  true
12.0  0.6667  0.46296882  true
12.0  0.8333  0.46220537  true
12.0  1.0000  0.46011739  true
12.0  1.1667  0.45598255  true
12.0  1.3333  0.44917330  true
12.0  1.5000  0.43913757  true
12.0  1.6667  0.42533298  true
12.0  1.8333  0.40714350  true
12.0  2.0000  0.38376850  true
12.0  2.1667  0.35404440  true
12.0  2.3333  0.31606778  true
12.0  2.5000  0.26622858  true
12.0  2.6667  0.19555320  true
12.0  2.8333  0.04417093  true
12.0  3.0000  0.00000001  true
12.0  3.1667  0.00000001  true
12.0  3.3333  0.00000001  true
12.0  3.5000  0.00000000  true
12.0  3.6667  0.00000000  true
12.0  3.8333  0.00000000  true
12.0  4.0000  0.00000000  true
12.0  4.1667  0.00000000  true
12.0  4.3333  0.00000000  true
12.0  4.5000  0.00000000  true
12.0  4.6667  0.00000000  true
12.0  4.8333  0.00000000  true
12.0  5.0000  0.00000000  true
16.0  0.0000  0.47822815  true
16.0  0.2333  0.47822815  true
16.0  0.4667  0.47822810  true
16.0  0.7000  0.47821525  true
16.0  0.9333  0.47801445  true
16.0  1.1667  0.47705960  true
16.0  1.4000  0.47453505  true
16.0  1.6333  0.46964990  true
16.0  1.8667  0.46173024  true
16.0  2.1000  0.45017877  true
16.0  2.3333  0.43439059  true
16.0  2.5667  0.41365001  true
16.0  2.8000  0.38698704  true
16.0  3.0333  0.35292491  true
16.0  3.2667  0.30891079  true
16.0  3.5000  0.24963074  true
16.0  3.7333  0.15869526  true
16.0  3.9667  0.00000000  true
16.0  4.2000  0.00000000  true
16.0  4.4333  0.00000000  true
16.0  4.6667  0.00000000  true
16.0  4.9000  0.00000000  true
16.0  5.1333  0.00000000  true
16.0  5.3667  0.00000000  true
16.0  5.6000  0.00000000  true
16.0  5.8333  0.00000000  true
16.0  6.0667  0.00000000  true
16.0  6.3000  0.00000000  true
16.0  6.5333  0.00000000  true
16.0  6.7667  0.00000000  true
16.0  7.0000  0.00000000  true
