# arc  E1  E2
0.000000  -3.00000000  3.00000000
0.035200  -2.99969025  2.99969025
0.070400  -2.99876109  2.99876109
0.105600  -2.99721282  2.99721282
0.140800  -2.99504591  2.99504591
0.176000  -2.99226103  2.99226103
0.211200  -2.98885905  2.98885905
0.246399  -2.98484102  2.98484102
0.281599  -2.98020818  2.98020818
0.316799  -2.97496197  2.97496197
0.351999  -2.96910402  2.96910402
0.387199  -2.96263614  2.96263614
0.422399  -2.95556032  2.95556032
0.457599  -2.94787878  2.94787878
0.492799  -2.93959387  2.93959387
0.527999  -2.93070818  2.93070818
0.563199  -2.92122444  2.92122444
0.598399  -2.91114561  2.91114561
0.633599  -2.90047480  2.90047480
0.668798  -2.88921532  2.88921532
0.703998  -2.87737065  2.87737065
0.739198  -2.86494446  2.86494446
0.774398  -2.85194060  2.85194060
0.809598  -2.83836311  2.83836311
0.844798  -2.82421618  2.82421618
0.879998  -2.80950420  2.80950420
0.915198  -2.79423173  2.79423173
0.950398  -2.77840349  2.77840349
0.985598  -2.76202439  2.76202439
1.020798  -2.74509950  2.74509950
1.055998  -2.72763407  2.72763407
1.091197  -2.70963350  2.70963350
1.126397  -2.69110337  2.69110337
1.161597  -2.67204942  2.67204942
1.196797  -2.65247755  2.65247755
1.231997  -2.63239382  2.63239382
1.267197  -2.61180447  2.61180447
1.302397  -2.59071585  2.59071585
1.337597  -2.56913451  2.56913451
1.372797  -2.54706713  2.54706713
1.407997  -2.52452054  2.52452054
1.443197  -2.50150173  2.50150173
1.478397  -2.47801783  2.47801783
1.513596  -2.45407612  2.45407612
1.548796  -2.42968400  2.42968400
1.583996  -2.40484904  2.40484904
1.619196  -2.37957893  2.37957893
1.654396  -2.35388149  2.35388149
1.689596  -2.32776468  2.32776468
1.724796  -2.30123660  2.30123660
1.759996  -2.27430546  2.27430546
1.795196  -2.24697960  2.24697960
1.830396  -2.21926749  2.21926749
1.865596  -2.19117772  2.19117772
1.900796  -2.16271897  2.16271897
1.935995  -2.13390007  2.13390007
1.971195  -2.10472995  2.10472995
2.006395  -2.07521763  2.07521763
2.041595  -2.04537226  2.04537226
2.076795  -2.01520310  2.01520310
2.111995  -1.98471947  1.98471947
2.147195  -1.95393082  1.95393082
2.182395  -1.92284669  1.92284669
2.217595  -1.89147671  1.89147671
2.252795  -1.85983060  1.85983060
2.287995  -1.82791815  1.82791815
2.323195  -1.79574925  1.79574925
2.358394  -1.76333387  1.76333387
2.393594  -1.73068205  1.73068205
2.428794  -1.69780390  1.69780390
2.463994  -1.66470960  1.66470960
2.499194  -1.63140941  1.63140941
2.534394  -1.59791364  1.59791364
2.569594  -1.56423266  1.56423266
2.604794  -1.53037691  1.53037691
2.639994  -1.49635688  1.49635688
2.675194  -1.46218311  1.46218311
2.710394  -1.42786617  1.42786617
2.745594  -1.39341670  1.39341670
2.780793  -1.35884536  1.35884536
2.815993  -1.32416288  1.32416288
2.851193  -1.28937998  1.28937998
2.886393  -1.25450745  1.25450745
2.921593  -1.21955609  1.21955609
2.956793  -1.18453672  1.18453672
2.991993  -1.14946019  1.14946019
3.027193  -1.11433736  1.11433736
3.062393  -1.07917912  1.07917912
3.097593  -1.04399635  1.04399635
3.132793  -1.00879995  1.00879995
3.167993  -0.97360083  0.97360083
3.203193  -0.93840988  0.93840988
3.238392  -0.90323801  0.90323801
3.273592  -0.86809612  0.86809612
3.308792  -0.83299508  0.83299508
3.343992  -0.79794577  0.79794577
3.379192  -0.76295905  0.76295905
3.414392  -0.72804575  0.72804575
3.449592  -0.69321669  0.69321669
3.484792  -0.65848266  0.65848266
3.519992  -0.62385441  0.62385441
3.555192  -0.58934267  0.58934267
3.590392  -0.55495813  0.55495813
3.625592  -0.52071145  0.52071145
3.660791  -0.48661322  0.48661322
3.695991  -0.45267402  0.45267402
