# U  m_AF  E_gs  phase
0.0000  0.00000000  -3.1491951239  PM
0.1000  0.00000000  -3.0991951239  PM
0.2000  0.00000000  -3.0491951239  PM
0.3000  0.00000000  -2.9991951239  PM
0.4000  0.00000000  -2.9491951239  PM
0.5000  0.00000000  -2.8991951239  PM
0.6000  0.00000000  -2.8491951239  PM
0.7000  0.00000000  -2.7991951239  PM
0.8000  0.00000000  -2.7491951239  PM
0.9000  0.00000000  -2.6991951239  PM
1.0000  0.00000000  -2.6491951239  PM
1.1000  0.00000000  -2.5991951239  PM
1.2000  0.00000000  -2.5491951239  PM
1.3000  0.00000000  -2.4991951239  PM
1.4000  0.00000000  -2.4491951239  PM
1.5000  0.00000000  -2.3991951239  PM
1.6000  0.00000000  -2.3491951239  PM
1.7000  0.00000000  -2.2991951239  PM
1.8000  0.00000000  -2.2491951239  PM
1.9000  0.00000000  -2.1991951239  PM
2.0000  0.00000000  -2.1491951239  PM
2.1000  0.00000000  -2.0991951239  PM
2.2000  0.00000000  -2.0491951239  PM
2.3000  0.03174965  -1.9992417575  AFM
2.4000  0.07159870  -1.9498136606  AFM
2.5000  0.10562539  -1.9014185351  AFM
2.6000  0.13507211  -1.8543461274  AFM
2.7000  0.16084081  -1.8087517369  AFM
2.8000  0.18360434  -1.7647081406  AFM
2.9000  0.20387552  -1.7222367205  AFM
3.0000  0.22205258  -1.6813266252  AFM
3.1000  0.23845000  -1.6419468549  AFM
3.2000  0.25331980  -1.6040540386  AFM
3.3000  0.26686671  -1.5675974879  AFM
3.4000  0.27925897  -1.5325225446  AFM
3.5000  0.29063642  -1.4987727852  AFM
3.6000  0.30111640  -1.4662915216  AFM
3.7000  0.31079823  -1.4350227404  AFM
3.8000  0.31976669  -1.4049117819  AFM
3.9000  0.32809468  -1.3759057126  AFM
4.0000  0.33584528  -1.3479535977  AFM
